0023 \#
012B \={\i}
012C \u I
012D \u{\i}
012E \k I
012F \k i
0130 \.I
0131 {\i}
0132 IJ
0133 ij
0134 \^J
0135 \^{\j}
0136 \c K
0137 \c k
0138 {\fontencoding{LELA}\selectfont\char91}
0139 \'L
013A \'l
013B \c L
013C \c l
013D \v L
013E \v l
013F {\fontencoding{LELA}\selectfont\char201}
0140 {\fontencoding{LELA}\selectfont\char202}
0141 {\L}
0142 {\l}
0143 \'N
0144 \'n
0145 \c N
0146 \c n
0147 \v N
0148 \v n
0149 'n
014A \N G 
014B \eng 
014C \=O
014D \=o
014E \u O
014F \u o
0150 \H O
0151 \H o
0152 \O E 
0153 \o e 
0154 \'R
0155 \'r
0156 \c R
0157 \c r
0158 \v R
0159 \v r
015A \'S
015B \'s
015C \^S
015D \^s
015E \c S
015F \c s
0160 \v S
0161 \v s
0162 \c T
0163 \c t
0164 \v T
0165 \v t
0166 {\fontencoding{LELA}\selectfont\char47}
0167 {\fontencoding{LELA}\selectfont\char63}
0168 \~U
0169 \~u
016A \=U
016B \=u
016C \u U
016D \u u
016E \r U
016F \r u
0170 \H U
0171 \H u
0172 \k U
0173 \k u
0174 \^W
0175 \^w
0176 \^Y
0177 \^y
0178 \"Y
0179 \'Z
017A \'z
017B \.Z
017C \.z
017D \v Z
017E \v z
0195 \texthvlig 
019E \textnrleg 
01A1 {\uaa\char"A1}
01AA \eth 
01BA {\fontencoding{LELA}\selectfont\char195}
01C2 \textdoublepipe 
01F5 \'g
0219 \cb s
021A \cb T
021B \cb t
0250 \Elztrna 
0252 \Elztrnsa 
0254 \Elzopeno 
0256 \Elzrtld 
0258 {\fontencoding{LEIP}\selectfont\char61}
0259 \schwa 
025B \varepsilon 
0263 \Elzpgamma 
0264 \Elzpbgam 
0265 \Elztrnh 
026C \Elzbtdl 
026D \Elzrtll 
026F \Elztrnm 
0270 \Elztrnmlr 
0271 \Elzltlmr 
0272 \Elzltln 
0273 \Elzrtln 
0277 \Elzclomeg 
0278 \textphi 
0279 \Elztrnr 
027A \Elztrnrl 
027B \Elzrttrnr 
027C \Elzrl 
027D \Elzrtlr 
027E \Elzfhr 
027F {\fontencoding{LEIP}\selectfont\char202}
0282 \Elzrtls 
0283 \Elzesh 
0287 \Elztrnt 
0288 \Elzrtlt 
028A \Elzpupsil 
028B \Elzpscrv 
028C \Elzinvv 
028D \Elzinvw 
028E \Elztrny 
0290 \Elzrtlz 
0292 \Elzyogh 
0294 \Elzglst 
0295 \Elzreglst 
0296 \Elzinglst 
029E \textturnk 
02A4 \Elzdyogh 
02A7 \Elztesh 
02BE {\uab\char"BE}
02BF {\uab\char"BF}
02C7 \textasciicaron 
02C8 \Elzverts 
02CC \Elzverti 
02D0 \Elzlmrk 
02D1 \Elzhlmrk 
02D2 \Elzsbrhr 
02D3 \Elzsblhr 
02D4 \Elzrais 
02D5 \Elzlow 
02D8 \textasciibreve 
02D9 \textperiodcentered 
02DA \r{}
02DB \k{}
02DC \texttildelow 
02DD \H{}
02E5 \tone{55}
02E6 \tone{44}
02E7 \tone{33}
02E8 \tone{22}
02E9 \tone{11}
0300 \`
0301 \'
0302 \^
0303 \~
0304 \=
0306 \u 
0307 \.
0308 \"
030A \r 
030B \H 
030C \v 
030F \cyrchar\C
0311 {\fontencoding{LECO}\selectfont\char177}
0318 {\fontencoding{LECO}\selectfont\char184}
0319 {\fontencoding{LECO}\selectfont\char185}
0321 \Elzpalh 
0322 \Elzrh 
0327 \c 
0328 \k
032A \Elzsbbrg 
032B {\fontencoding{LECO}\selectfont\char203}
032F {\fontencoding{LECO}\selectfont\char207}
0335 \Elzxl 
0336 \Elzbar 
0337 {\fontencoding{LECO}\selectfont\char215}
0338 {\fontencoding{LECO}\selectfont\char216}
033A {\fontencoding{LECO}\selectfont\char218}
033B {\fontencoding{LECO}\selectfont\char219}
033C {\fontencoding{LECO}\selectfont\char220}
033D {\fontencoding{LECO}\selectfont\char221}
0361 {\fontencoding{LECO}\selectfont\char225}
0386 \'A
0388 \'E
0389 \'H
038A \'{}I
038C \'{}O
038E \mathrm{'Y}
038F \mathrm{'\Omega}
0390 \acute{\ddot{\iota}}
0391 \Alpha 
0392 \Beta 
0393 \Gamma 
0394 \Delta 
0395 \Epsilon 
0396 \Zeta 
0397 \Eta 
0398 \Theta 
0399 \Iota 
039A \Kappa 
039B \Lambda 
039E \Xi 
03A0 \Pi 
03A1 \Rho 
03A3 \Sigma 
03A4 \Tau 
03A5 \Upsilon 
03A6 \Phi 
03A7 \Chi 
03A8 \Psi 
03A9 \Omega 
03AA \mathrm{\ddotI}
03AB \mathrm{\ddotY}
03AC \'{$\alpha$}
03AD \acute{\epsilon}
03AE \acute{\eta}
03AF \acute{\iota}
03B0 \acute{\ddot{\upsilon}}
03B1 \alpha 
03B2 \beta 
03B3 \gamma 
03B4 \delta 
03B5 \epsilon 
03B6 \zeta 
03B7 \eta 
03B8 \texttheta 
03B9 \iota 
03BA \kappa 
03BB \lambda 
03BC \mu 
03BD \nu 
03BE \xi 
03C0 \pi 
03C1 \rho 
03C2 \varsigma 
03C3 \sigma 
03C4 \tau 
03C5 \upsilon 
03C6 \varphi 
03C7 \chi 
03C8 \psi 
03C9 \omega 
03CA \ddot{\iota}
03CB \ddot{\upsilon}
03CC \'o
03CD \acute{\upsilon}
03CE \acute{\omega}
03D0 \Pisymbol{ppi022}{87}
03D1 \textvartheta 
03D2 \Upsilon 
03D5 \phi 
03D6 \varpi 
03DA \Stigma 
03DC \Digamma 
03DD \digamma 
03DE \Koppa 
03E0 \Sampi 
03F0 \varkappa 
03F1 \varrho 
03F4 \textTheta 
03F6 \backepsilon 
0401 \cyrchar\CYRYO 
0402 \cyrchar\CYRDJE 
0403 \cyrchar{\'\CYRG}
0404 \cyrchar\CYRIE 
0405 \cyrchar\CYRDZE 
0406 \cyrchar\CYRII 
0407 \cyrchar\CYRYI 
0408 \cyrchar\CYRJE 
0409 \cyrchar\CYRLJE 
040A \cyrchar\CYRNJE 
040B \cyrchar\CYRTSHE 
040C \cyrchar{\'\CYRK}
040E \cyrchar\CYRUSHRT 
040F \cyrchar\CYRDZHE 
0410 \cyrchar\CYRA 
0411 \cyrchar\CYRB 
0412 \cyrchar\CYRV 
0413 \cyrchar\CYRG 
0414 \cyrchar\CYRD 
0415 \cyrchar\CYRE 
0416 \cyrchar\CYRZH 
0417 \cyrchar\CYRZ 
0418 \cyrchar\CYRI 
0419 \cyrchar\CYRISHRT 
041A \cyrchar\CYRK 
041B \cyrchar\CYRL 
041C \cyrchar\CYRM 
041D \cyrchar\CYRN 
041E \cyrchar\CYRO 
041F \cyrchar\CYRP 
0420 \cyrchar\CYRR 
0421 \cyrchar\CYRS 
0422 \cyrchar\CYRT 
0423 \cyrchar\CYRU 
0424 \cyrchar\CYRF 
0425 \cyrchar\CYRH 
0426 \cyrchar\CYRC 
0427 \cyrchar\CYRCH 
0428 \cyrchar\CYRSH 
0429 \cyrchar\CYRSHCH 
042A \cyrchar\CYRHRDSN 
042B \cyrchar\CYRERY 
042C \cyrchar\CYRSFTSN 
042D \cyrchar\CYREREV 
042E \cyrchar\CYRYU 
042F \cyrchar\CYRYA 
0430 \cyrchar\cyra 
0431 \cyrchar\cyrb 
0432 \cyrchar\cyrv 
0433 \cyrchar\cyrg 
0434 \cyrchar\cyrd 
0435 \cyrchar\cyre 
0436 \cyrchar\cyrzh 
0437 \cyrchar\cyrz 
0438 \cyrchar\cyri 
0439 \cyrchar\cyrishrt 
043A \cyrchar\cyrk 
043B \cyrchar\cyrl 
043C \cyrchar\cyrm 
043D \cyrchar\cyrn 
043E \cyrchar\cyro 
043F \cyrchar\cyrp 
0440 \cyrchar\cyrr 
0441 \cyrchar\cyrs 
0442 \cyrchar\cyrt 
0443 \cyrchar\cyru 
0444 \cyrchar\cyrf 
0445 \cyrchar\cyrh 
0446 \cyrchar\cyrc 
0447 \cyrchar\cyrch 
0448 \cyrchar\cyrsh 
0449 \cyrchar\cyrshch 
044A \cyrchar\cyrhrdsn 
044B \cyrchar\cyrery 
044C \cyrchar\cyrsftsn 
044D \cyrchar\cyrerev 
044E \cyrchar\cyryu 
044F \cyrchar\cyrya 
0451 \cyrchar\cyryo 
0452 \cyrchar\cyrdje 
0453 \cyrchar{\'\cyrg}
0454 \cyrchar\cyrie 
0455 \cyrchar\cyrdze 
0456 \cyrchar\cyrii 
0457 \cyrchar\cyryi 
0458 \cyrchar\cyrje 
0459 \cyrchar\cyrlje 
045A \cyrchar\cyrnje 
045B \cyrchar\cyrtshe 
045C \cyrchar{\'\cyrk}
045E \cyrchar\cyrushrt 
045F \cyrchar\cyrdzhe 
0460 \cyrchar\CYROMEGA 
0461 \cyrchar\cyromega 
0462 \cyrchar\CYRYAT 
0464 \cyrchar\CYRIOTE 
0465 \cyrchar\cyriote 
0466 \cyrchar\CYRLYUS 
0467 \cyrchar\cyrlyus 
0468 \cyrchar\CYRIOTLYUS 
0469 \cyrchar\cyriotlyus 
046A \cyrchar\CYRBYUS 
046C \cyrchar\CYRIOTBYUS 
046D \cyrchar\cyriotbyus 
046E \cyrchar\CYRKSI 
046F \cyrchar\cyrksi 
0470 \cyrchar\CYRPSI 
0471 \cyrchar\cyrpsi 
0472 \cyrchar\CYRFITA 
0474 \cyrchar\CYRIZH 
0478 \cyrchar\CYRUK 
0479 \cyrchar\cyruk 
047A \cyrchar\CYROMEGARND 
047B \cyrchar\cyromegarnd 
047C \cyrchar\CYROMEGATITLO 
047D \cyrchar\cyromegatitlo 
047E \cyrchar\CYROT 
047F \cyrchar\cyrot 
0480 \cyrchar\CYRKOPPA 
0481 \cyrchar\cyrkoppa 
0482 \cyrchar\cyrthousands 
0488 \cyrchar\cyrhundredthousands 
0489 \cyrchar\cyrmillions 
048C \cyrchar\CYRSEMISFTSN 
048D \cyrchar\cyrsemisftsn 
048E \cyrchar\CYRRTICK 
048F \cyrchar\cyrrtick 
0490 \cyrchar\CYRGUP 
0491 \cyrchar\cyrgup 
0492 \cyrchar\CYRGHCRS 
0493 \cyrchar\cyrghcrs 
0494 \cyrchar\CYRGHK 
0495 \cyrchar\cyrghk 
0496 \cyrchar\CYRZHDSC 
0497 \cyrchar\cyrzhdsc 
0498 \cyrchar\CYRZDSC 
0499 \cyrchar\cyrzdsc 
049A \cyrchar\CYRKDSC 
049B \cyrchar\cyrkdsc 
049C \cyrchar\CYRKVCRS 
049D \cyrchar\cyrkvcrs 
049E \cyrchar\CYRKHCRS 
049F \cyrchar\cyrkhcrs 
04A0 \cyrchar\CYRKBEAK 
04A1 \cyrchar\cyrkbeak 
04A2 \cyrchar\CYRNDSC 
04A3 \cyrchar\cyrndsc 
04A4 \cyrchar\CYRNG 
04A5 \cyrchar\cyrng 
04A6 \cyrchar\CYRPHK 
04A7 \cyrchar\cyrphk 
04A8 \cyrchar\CYRABHHA 
04A9 \cyrchar\cyrabhha 
04AA \cyrchar\CYRSDSC 
04AB \cyrchar\cyrsdsc 
04AC \cyrchar\CYRTDSC 
04AD \cyrchar\cyrtdsc 
04AE \cyrchar\CYRY 
04AF \cyrchar\cyry 
04B0 \cyrchar\CYRYHCRS 
04B1 \cyrchar\cyryhcrs 
04B2 \cyrchar\CYRHDSC 
04B3 \cyrchar\cyrhdsc 
04B4 \cyrchar\CYRTETSE 
04B5 \cyrchar\cyrtetse 
04B6 \cyrchar\CYRCHRDSC 
04B7 \cyrchar\cyrchrdsc 
04B8 \cyrchar\CYRCHVCRS 
04B9 \cyrchar\cyrchvcrs 
04BA \cyrchar\CYRSHHA 
04BB \cyrchar\cyrshha 
04BC \cyrchar\CYRABHCH 
04BD \cyrchar\cyrabhch 
04BE \cyrchar\CYRABHCHDSC 
04BF \cyrchar\cyrabhchdsc 
04C0 \cyrchar\CYRpalochka 
04C3 \cyrchar\CYRKHK 
04C4 \cyrchar\cyrkhk 
04C7 \cyrchar\CYRNHK 
04C8 \cyrchar\cyrnhk 
04CB \cyrchar\CYRCHLDSC 
04CC \cyrchar\cyrchldsc 
04D4 \cyrchar\CYRAE 
04D5 \cyrchar\cyrae 
04D8 \cyrchar\CYRSCHWA 
04D9 \cyrchar\cyrschwa 
04E0 \cyrchar\CYRABHDZE 
04E1 \cyrchar\cyrabhdze 
04E8 \cyrchar\CYROTLD 
04E9 \cyrchar\cyrotld 
1E0D \d d
1E24 \d H
1E25 \d h
1E2B \cb H
1E45 \.n
1E47 \d n
1E5B \d r
1E62 \d S
1E63 \d s
1E6C \d T
1E6D \d t
1EA1 \d a
1EA3 {\mak\char'344}
1EA7 {\mak\char'244}
1EA9 {\mak\char'246}
1EBF {\mak\char'254}
1EC5 {\mak\char'255}
1ECB {\mak\char'270}
1ECD \d o
1ED9 {\mak\char'265}
1EE5 \d u
2002 \hspace{0.6em}
2003 \hspace{1em}
2004 \hspace{0.33em}
2005 \hspace{0.25em}
2006 \hspace{0.166em}
2007 \hphantom0
2008 \hphantom,
2009 \hspace{0.167em}
200A \mkern1mu 
2010 -
2013 \textendash 
2014 \textemdash 
2015 \rule{1em}{1pt}
2016 \Vert 
2019 '
201B \Elzreapos 
201C \textquotedblleft 
201D \textquotedblright 
201E ,,
2020 \textdagger 
2021 \textdaggerdbl 
2022 \textbullet 
2025 ..
2026 \ldots 
2030 \textperthousand 
2031 \textpertenthousand 
2032 '
2033 {''}
2034 {'''}
2035 \backprime 
2039 \guilsinglleft 
203A \guilsinglright 
2057 ''''
205F \mkern4mu 
2060 \nolinebreak 
20A7 \ensuremath{\Elzpes}
20AC \mbox{\texteuro} 
20DB \dddot 
20DC \ddddot 
2102 \mathbbC
210A \mathscrg
210B \mathscrH
210C \mathfrakH
210D \mathbbH
210F \hslash 
2110 \mathscrI
2111 \mathfrakI
2112 \mathscrL
2113 \mathscrl
2115 \mathbbN
2116 \cyrchar\textnumero 
2118 \wp 
2119 \mathbbP
211A \mathbbQ
211B \mathscrR
211C \mathfrakR
211D \mathbbR
211E \Elzxrat 
2122 \texttrademark 
2124 \mathbbZ
2126 \Omega 
2127 \mho 
2128 \mathfrakZ
2129 \ElsevierGlyph{2129}
212B \AA 
212C \mathscrB
212D \mathfrakC
212F \mathscre
2130 \mathscrE
2131 \mathscrF
2133 \mathscrM
2134 \mathscro
2135 \aleph 
2136 \beth 
2137 \gimel 
2138 \daleth 
2153 \textfrac13
2154 \textfrac23
2155 \textfrac15
2156 \textfrac25
2157 \textfrac35
2158 \textfrac45
2159 \textfrac16
215A \textfrac56
215B \textfrac18
215C \textfrac38
215D \textfrac58
215E \textfrac78
2190 \leftarrow 
2191 \uparrow 
2192 \rightarrow 
2193 \downarrow 
2194 \leftrightarrow 
2195 \updownarrow 
2196 \nwarrow 
2197 \nearrow 
2198 \searrow 
2199 \swarrow 
219A \nleftarrow 
219B \nrightarrow 
219C \arrowwaveright 
219D \arrowwaveright 
219E \twoheadleftarrow 
21A0 \twoheadrightarrow 
21A2 \leftarrowtail 
21A3 \rightarrowtail 
21A6 \mapsto 
21A9 \hookleftarrow 
21AA \hookrightarrow 
21AB \looparrowleft 
21AC \looparrowright 
21AD \leftrightsquigarrow 
21AE \nleftrightarrow 
21B0 \Lsh 
21B1 \Rsh 
21B3 \ElsevierGlyph{21B3}
21B6 \curvearrowleft 
21B7 \curvearrowright 
21BA \circlearrowleft 
21BB \circlearrowright 
21BC \leftharpoonup 
21BD \leftharpoondown 
21BE \upharpoonright 
21BF \upharpoonleft 
21C0 \rightharpoonup 
21C1 \rightharpoondown 
21C2 \downharpoonright 
21C3 \downharpoonleft 
21C4 \rightleftarrows 
21C5 \dblarrowupdown 
21C6 \leftrightarrows 
21C7 \leftleftarrows 
21C8 \upuparrows 
21C9 \rightrightarrows 
21CA \downdownarrows 
21CB \leftrightharpoons 
21CC \rightleftharpoons 
21CD \nLeftarrow 
21CE \nLeftrightarrow 
21CF \nRightarrow 
21D0 \Leftarrow 
21D1 \Uparrow 
21D2 \Rightarrow 
21D3 \Downarrow 
21D4 \Leftrightarrow 
21D5 \Updownarrow 
21DA \Lleftarrow 
21DB \Rrightarrow 
21DD \rightsquigarrow 
21F5 \DownArrowUpArrow 
2200 \forall 
2201 \complement 
2202 \partial 
2203 \exists 
2204 \nexists 
2205 \varnothing 
2207 \nabla 
2208 \in 
2209 \not\in 
220B \ni 
220C \not\ni 
220F \prod 
2210 \coprod 
2211 \sum 
2213 \mp 
2214 \dotplus 
2216 \setminus 
2217 {_\ast}
2218 \circ 
2219 \bullet 
221A \surd 
221D \propto 
221E \infty 
221F \rightangle 
2220 \angle 
2221 \measuredangle 
2222 \sphericalangle 
2223 \mid 
2224 \nmid 
2225 \parallel 
2226 \nparallel 
2227 \wedge 
2228 \vee 
2229 \cap 
222A \cup 
222B \int 
222C \int\!\int 
222D \int\!\int\!\int 
222E \oint 
222F \surfintegral 
2230 \volintegral 
2231 \clwintegral 
2232 \ElsevierGlyph{2232}
2233 \ElsevierGlyph{2233}
2234 \therefore 
2235 \because 
2237 \Colon 
2238 \ElsevierGlyph{2238}
223A \mathbin{:\!\!-\!\!:}
223B \homothetic 
223C \sim 
223D \backsim 
223E \lazysinv 
2240 \wr 
2241 \not\sim 
2242 \NotEqualTilde 
2243 \simeq 
2244 \not\simeq 
2245 \cong 
2246 \approxnotequal 
2247 \not\cong 
2248 \approx 
2249 \not\approx 
224A \approxeq 
224B \tildetrpl 
224C \allequal 
224D \asymp 
224E \Bumpeq 
224F \bumpeq 
2250 \doteq 
2251 \doteqdot 
2252 \fallingdotseq 
2253 \risingdotseq 
2254 :=
2255 =:
2256 \eqcirc 
2257 \circeq 
2259 \estimates 
225A \ElsevierGlyph{225A}
225B \starequal 
225C \triangleq 
225F \ElsevierGlyph{225F}
2260 \not =
2261 \equiv 
2262 \not\equiv 
2264 \leq 
2265 \geq 
2266 \leqq 
2267 \geqq 
2268 \lneqq 
2269 \gneqq 
226A \ll 
226B \gg 
226C \between 
226D \not\kern-0.3em\times 
226E \not<
226F \not>
2270 \not\leq 
2271 \not\geq 
2272 \lessequivlnt 
2273 \greaterequivlnt 
2274 \ElsevierGlyph{2274}
2275 \ElsevierGlyph{2275}
2276 \lessgtr 
2277 \gtrless 
2278 \notlessgreater 
2279 \notgreaterless 
227A \prec 
227B \succ 
227C \preccurlyeq 
227D \succcurlyeq 
227E \precapprox 
227F \succapprox 
2280 \not\prec 
2281 \not\succ 
2282 \subset 
2283 \supset 
2284 \not\subset 
2285 \not\supset 
2286 \subseteq 
2287 \supseteq 
2288 \not\subseteq 
2289 \not\supseteq 
228A \subsetneq 
228B \supsetneq 
228E \uplus 
228F \sqsubset 
2290 \sqsupset 
2291 \sqsubseteq 
2292 \sqsupseteq 
2293 \sqcap 
2294 \sqcup 
2295 \oplus 
2296 \ominus 
2297 \otimes 
2298 \oslash 
2299 \odot 
229A \circledcirc 
229B \circledast 
229D \circleddash 
229E \boxplus 
229F \boxminus 
22A0 \boxtimes 
22A1 \boxdot 
22A2 \vdash 
22A3 \dashv 
22A4 \top 
22A5 \perp 
22A7 \truestate 
22A8 \forcesextra 
22A9 \Vdash 
22AA \Vvdash 
22AB \VDash 
22AC \nvdash 
22AD \nvDash 
22AE \nVdash 
22AF \nVDash 
22B2 \vartriangleleft 
22B3 \vartriangleright 
22B4 \trianglelefteq 
22B5 \trianglerighteq 
22B6 \original 
22B7 \image 
22B8 \multimap 
22B9 \hermitconjmatrix 
22BA \intercal 
22BB \veebar 
22BE \rightanglearc 
22C0 \ElsevierGlyph{22C0}
22C1 \ElsevierGlyph{22C1}
22C2 \bigcap 
22C3 \bigcup 
22C4 \diamond 
22C5 \cdot 
22C6 \star 
22C7 \divideontimes 
22C8 \bowtie 
22C9 \ltimes 
22CA \rtimes 
22CB \leftthreetimes 
22CC \rightthreetimes 
22CD \backsimeq 
22CE \curlyvee 
22CF \curlywedge 
22D0 \Subset 
22D1 \Supset 
22D2 \Cap 
22D3 \Cup 
22D4 \pitchfork 
22D6 \lessdot 
22D7 \gtrdot 
22D8 \verymuchless 
22D9 \verymuchgreater 
22DA \lesseqgtr 
22DB \gtreqless 
22DE \curlyeqprec 
22DF \curlyeqsucc 
22E2 \not\sqsubseteq 
22E3 \not\sqsupseteq 
22E5 \Elzsqspne 
22E6 \lnsim 
22E7 \gnsim 
22E8 \precedesnotsimilar 
22E9 \succnsim 
22EA \ntriangleleft 
22EB \ntriangleright 
22EC \ntrianglelefteq 
22ED \ntrianglerighteq 
22EE \vdots 
22EF \cdots 
22F0 \upslopeellipsis 
22F1 \downslopeellipsis 
2305 \barwedge 
2306 \perspcorrespond 
2308 \lceil 
2309 \rceil 
230A \lfloor 
230B \rfloor 
2315 \recorder 
2316 \mathchar\"2208
231C \ulcorner 
231D \urcorner 
231E \llcorner 
231F \lrcorner 
2322 \frown 
2323 \smile 
2329 \langle 
232A \rangle 
233D \ElsevierGlyph{E838}
23A3 \Elzdlcorn 
23B0 \lmoustache 
23B1 \rmoustache 
2423 \textvisiblespace 
2460 \ding{172}
2461 \ding{173}
2462 \ding{174}
2463 \ding{175}
2464 \ding{176}
2465 \ding{177}
2466 \ding{178}
2467 \ding{179}
2468 \ding{180}
2469 \ding{181}
24C8 \circledS 
2506 \Elzdshfnc 
2519 \Elzsqfnw 
2571 \diagup 
25A0 \ding{110}
25A1 \square 
25AA \blacksquare 
25AD \fbox{~~}
25AF \Elzvrecto 
25B1 \ElsevierGlyph{E381}
25B2 \ding{115}
25B3 \bigtriangleup 
25B4 \blacktriangle 
25B5 \vartriangle 
25B8 \blacktriangleright 
25B9 \triangleright 
25BC \ding{116}
25BD \bigtriangledown 
25BE \blacktriangledown 
25BF \triangledown 
25C2 \blacktriangleleft 
25C3 \triangleleft 
25C6 \ding{117}
25CA \lozenge 
25CB \bigcirc 
25CF \ding{108}
25D0 \Elzcirfl 
25D1 \Elzcirfr 
25D2 \Elzcirfb 
25D7 \ding{119}
25D8 \Elzrvbull 
25E7 \Elzsqfl 
25E8 \Elzsqfr 
25EA \Elzsqfse 
25EF \bigcirc 
2605 \ding{72}
2606 \ding{73}
260E \ding{37}
261B \ding{42}
261E \ding{43}
263E \rightmoon 
263F \mercury 
2640 \venus 
2642 \male 
2643 \jupiter 
2644 \saturn 
2645 \uranus 
2646 \neptune 
2647 \pluto 
2648 \aries 
2649 \taurus 
264A \gemini 
264B \cancer 
264C \leo 
264D \virgo 
264E \libra 
264F \scorpio 
2650 \sagittarius 
2651 \capricornus 
2652 \aquarius 
2653 \pisces 
2660 \ding{171}
2662 \diamond 
2663 \ding{168}
2665 \ding{170}
2666 \ding{169}
2669 \quarternote 
266A \eighthnote 
266D \flat 
266E \natural 
266F \sharp 
2701 \ding{33}
2702 \ding{34}
2703 \ding{35}
2704 \ding{36}
2706 \ding{38}
2707 \ding{39}
2708 \ding{40}
2709 \ding{41}
270C \ding{44}
270D \ding{45}
270E \ding{46}
270F \ding{47}
2710 \ding{48}
2711 \ding{49}
2712 \ding{50}
2713 \ding{51}
2714 \ding{52}
2715 \ding{53}
2716 \ding{54}
2717 \ding{55}
2718 \ding{56}
2719 \ding{57}
271A \ding{58}
271B \ding{59}
271C \ding{60}
271D \ding{61}
271E \ding{62}
271F \ding{63}
2720 \ding{64}
2721 \ding{65}
2722 \ding{66}
2723 \ding{67}
2724 \ding{68}
2725 \ding{69}
2726 \ding{70}
2727 \ding{71}
2729 \ding{73}
272A \ding{74}
272B \ding{75}
272C \ding{76}
272D \ding{77}
272E \ding{78}
272F \ding{79}
2730 \ding{80}
2731 \ding{81}
2732 \ding{82}
2733 \ding{83}
2734 \ding{84}
2735 \ding{85}
2736 \ding{86}
2737 \ding{87}
2738 \ding{88}
2739 \ding{89}
273A \ding{90}
273B \ding{91}
273C \ding{92}
273D \ding{93}
273E \ding{94}
273F \ding{95}
2740 \ding{96}
2741 \ding{97}
2742 \ding{98}
2743 \ding{99}
2744 \ding{100}
2745 \ding{101}
2746 \ding{102}
2747 \ding{103}
2748 \ding{104}
2749 \ding{105}
274A \ding{106}
274B \ding{107}
274D \ding{109}
274F \ding{111}
2750 \ding{112}
2751 \ding{113}
2752 \ding{114}
2756 \ding{118}
2758 \ding{120}
2759 \ding{121}
275A \ding{122}
275B \ding{123}
275C \ding{124}
275D \ding{125}
275E \ding{126}
2761 \ding{161}
2762 \ding{162}
2763 \ding{163}
2764 \ding{164}
2765 \ding{165}
2766 \ding{166}
2767 \ding{167}
2776 \ding{182}
2777 \ding{183}
2778 \ding{184}
2779 \ding{185}
277A \ding{186}
277B \ding{187}
277C \ding{188}
277D \ding{189}
277E \ding{190}
277F \ding{191}
2780 \ding{192}
2781 \ding{193}
2782 \ding{194}
2783 \ding{195}
2784 \ding{196}
2785 \ding{197}
2786 \ding{198}
2787 \ding{199}
2788 \ding{200}
2789 \ding{201}
278A \ding{202}
278B \ding{203}
278C \ding{204}
278D \ding{205}
278E \ding{206}
278F \ding{207}
2790 \ding{208}
2791 \ding{209}
2792 \ding{210}
2793 \ding{211}
2794 \ding{212}
2798 \ding{216}
2799 \ding{217}
279A \ding{218}
279B \ding{219}
279C \ding{220}
279D \ding{221}
279E \ding{222}
279F \ding{223}
27A0 \ding{224}
27A1 \ding{225}
27A2 \ding{226}
27A3 \ding{227}
