2#-1 1
467#+1 718713552547.460510058368076603383799.16156803036090201905385238636184905319.1688329643404467778910113589110704536638177511370621527.241948155472810953185961597457572281787204820672622575103587968993839
479#-1 2609.4481.10627.4073334782976241614987382168853459236198534017674709773325179.P127
# 17900@110m
479#+1 154491616237417891.(6772679800203621359727340860192275489269700851393978564152215281097373910647382435901469495342696263905769116925991500978308805930227367015866848676270575512747906478018197404601341)
487#-1 494441.18299730308381.389582295794232168674263739917.243810604583099404695859309054374271993455289.592902732487179117200767901393074072096217907381402920110153085391261272071452441934015310882547695228770433
487#+1 11587.199739.9057272859117914235451.24308775994530517943460921762986566348320339732554961083124535546686425076051070825137505692805161205851173147566571935992640422537970174815978302454722039744100425508977
491#-1 17929.40163137549.205335958836311.779980872607823.2169418055785582725191433774133500368241228839278840877208531847075069635478996425592856079132176325462248447475801377356646976706137663533881095098448301385393
491#+1 14419.247369.521723.12640654570543.61575007029066641463461809096648109890655323.6390822053685439076782735840662988821720741107.27028675011729291148670352021043402734017099189607428746971598311048303226520466804169
499#-1 569.9806549.812046160972930842046175176626574726520219.27552897236506535682235340974034201304544588474699516965961962581059843824906847058830504380802812293344380526319670501955923640566179503768526468635868551
499#+1 827.13221604619.502039587537773.(22743055940814684910953208232218107799494037614815153189690801888115816089004153862951410017619076432875763777141711793815143288104978077003648210152705983852112836519194886985359)
